country,id,value,extraInfo,text_content,link_text,link_url_target,audio_url_1,audio_url_2,audio_url_3,image_url_source,image_url_target,video_url
Sweden,SE,7,false,,,,,,,,,
Lithuania,LT,29,false,,,,,,,,,
Luxembourg,LU,37,false,,,,,,,,,
Finland,FI,37,false,,,,,,,,,
France,FR,43,false,,,,,,,,,
Austria,AT,55,false,,,,,,,,,
Portugal,PT,72,false,,,,,,,,,
Slovakia,SK,75,false,,,,,,,,,
Denmark,DK,76,false,,,,,,,,,
Latvia,LV,82,false,,,,,,,,,
Spain,ES,129,false,,,,,,,,,
Hungary,HU,137,false,,,,,,,,,
Croatia,HR,141,false,,,,,,,,,
Belgium,BE,145,false,,,,,,,,,
Slovenia,SI,172,false,,,,,,,,,
Italy,IT,180,false,,,,,,,,,
Netherlands,NL,235,false,,,,,,,,,
Ireland,IE,238,false,,,,,,,,,
Greece,EL,285,false,,,,,,,,,
Romania,RO,296,false,,,,,,,,,
Germany,DE,298,false,,,,,,,,,
Bulgaria,BG,301,false,,,,,,,,,
Czechia,CZ,332,false,,,,,,,,,
Malta,MT,337,false,,,,,,,,,
Cyprus,CY,535,false,,,,,,,,,
Poland,PL,554,false,,,,,,,,,
Estonia,EE,585,false,,,,,,,,,
